
result,mark,datatype,encoding,compressor,csv_file_name,start_time_in_ms,end_time_in_ms,import_elapsed_time_in_ms,query_elapsed_time_in_ms,data_size_in_byte,compression_rate,tsfile_count
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,UNCOMPRESSED,float-sg0-line5-10000w0_0.csv,1689250564959,1689252053530,1242138.71,61718.49,1909843117,3.3,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,UNCOMPRESSED,float-sg0-line1-1000w0_0.csv,1689252067013,1689252277827,80165.0,62556.72,38222159,6.46,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,UNCOMPRESSED,float-sg0-line5-1000w0_0.csv,1689252290974,1689252549995,127583.08,62686.07,190984044,3.3,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,UNCOMPRESSED,float-sg0-line1-10000w0_0.csv,1689252563165,1689253521357,721037.72,61683.63,382223962,6.46,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,SNAPPY,float-sg0-line3-1000w0_0.csv,1689253534599,1689253765577,99982.24,62828.69,9195832,47.73,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,SNAPPY,float-sg0-line3-10000w0_0.csv,1689253778733,1689255002654,966358.71,61957.85,91957045,47.73,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,SNAPPY,float-sg0-line5-10000w0_0.csv,1689255015941,1689256564471,1284793.64,61741.51,153236112,41.13,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,SNAPPY,float-sg0-line1-1000w0_0.csv,1689256577681,1689256790948,84116.3,62405.85,3115732,79.21,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,SNAPPY,float-sg0-line5-1000w0_0.csv,1689256804091,1689257066089,132466.96,62552.64,15323912,41.13,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,SNAPPY,float-sg0-line1-10000w0_0.csv,1689257079233,1689258047034,732387.82,61620.23,31157993,79.21,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZ4,float-sg0-line3-1000w0_0.csv,1689258060216,1689258302993,113543.62,62842.89,4582840,95.77,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZ4,float-sg0-line3-10000w0_0.csv,1689258316121,1689259583659,1018392.72,62047.5,45836031,95.75,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZ4,float-sg0-line5-10000w0_0.csv,1689259596928,1689261088846,1230470.12,61765.72,76391008,82.51,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZ4,float-sg0-line1-1000w0_0.csv,1689261102074,1689261310459,79366.0,62321.32,1561765,158.03,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZ4,float-sg0-line5-1000w0_0.csv,1689261323573,1689261594570,139938.64,62619.75,7637945,82.52,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZ4,float-sg0-line1-10000w0_0.csv,1689261607667,1689262590974,743351.18,61639.69,15621676,157.99,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,GZIP,float-sg0-line3-1000w0_0.csv,1689262604198,1689262838826,104293.48,62572.1,4521778,97.06,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,GZIP,float-sg0-line3-10000w0_0.csv,1689262851948,1689264136141,1038665.57,61867.56,45220812,97.06,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,GZIP,float-sg0-line5-10000w0_0.csv,1689264149341,1689265636497,1245409.94,61818.73,75333556,83.67,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,GZIP,float-sg0-line1-1000w0_0.csv,1689265649694,1689265861830,83541.54,62324.45,1541119,160.14,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,GZIP,float-sg0-line5-1000w0_0.csv,1689265874971,1689266130132,125671.75,62613.63,7533070,83.67,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,GZIP,float-sg0-line1-10000w0_0.csv,1689266143258,1689267130314,749945.82,61729.2,15413765,160.12,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,ZSTD,float-sg0-line3-1000w0_0.csv,1689267143536,1689267379022,105800.21,62631.55,3382834,129.74,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,ZSTD,float-sg0-line3-10000w0_0.csv,1689267392157,1689268666827,1033553.11,61927.5,33828689,129.74,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,ZSTD,float-sg0-line5-10000w0_0.csv,1689268680029,1689270170619,1239448.11,61745.71,56378055,111.8,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,ZSTD,float-sg0-line1-1000w0_0.csv,1689270183851,1689270395852,82979.77,62525.95,1162040,212.39,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,ZSTD,float-sg0-line5-1000w0_0.csv,1689270408978,1689270667713,128793.38,62656.11,5637959,111.8,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,ZSTD,float-sg0-line1-10000w0_0.csv,1689270680867,1689271687057,767831.04,61818.81,11622315,212.35,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZMA2,float-sg0-line3-1000w0_0.csv,1689271700220,1689271945513,114308.18,62790.83,3843703,114.19,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZMA2,float-sg0-line3-10000w0_0.csv,1689271958674,1689273206892,1011515.08,61980.22,38438453,114.18,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZMA2,float-sg0-line5-10000w0_0.csv,1689273220033,1689274712121,1247222.33,61693.71,64033393,98.43,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZMA2,float-sg0-line1-1000w0_0.csv,1689274725333,1689274938824,84862.53,62385.18,1315116,187.66,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZMA2,float-sg0-line5-1000w0_0.csv,1689274951949,1689275206727,125503.16,62650.69,6403339,98.43,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,GORILLA,LZMA2,float-sg0-line1-10000w0_0.csv,1689275219876,1689276177696,723777.66,61755.5,13153828,187.63,1157
result,iotdb_master_cb3eca69b1_20230712,FLOAT,FREQ,UNCOMPRESSED,float-sg0-line3-1000w0_0.csv,1689276190868,1689276433087,113202.33,62712.46,4585140,95.72,115
result,iotdb_master_cb3eca69b1_20230712,FLOAT,FREQ,UNCOMPRESSED,float-sg0-line3-10000w0_0.csv,1689276446241,1689277696743,1005849.7,62060.75,45859171,95.71,1157
